Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Eritrea,ERI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..
Estonia,EST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.853020046,3.155564814,5.792044675,3.78420085,3.739706682,-0.551001258,8.013462924
Eswatini,SWZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.227480675,1.062610193,2.026578156,2.368742043,2.703557595,-1.55964259,7.883306402
Ethiopia,ETH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.39246302,9.433482658,9.564189643,6.816147797,8.364085699,6.059530886,5.637303008
Faroe Islands,FRO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..
Fiji,FJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.501199392,2.445652008,5.353364937,3.81235097,-0.581946371,-17.00023502,-5.111607393
Finland,FIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.543659212,2.811457767,3.19240963,1.139718013,1.224748922,-2.205139373,2.973229356
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.112912341,1.095464404,2.291419994,1.865066071,1.842971814,-7.784586492,6.816589136
French Polynesia,PYF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.446946725,3.36664139,2.097448458,2.82447942,2.420144903,-10,1.024255604
Gabon,GAB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.878899395,2.091442208,0.472642031,0.837916581,3.920808795,-1.837761064,1.46228651
"Gambia, The",GMB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.058073804,1.943359655,4.822611249,7.234890333,6.22205316,0.591487288,4.265492162
Georgia,GEO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.02220738,2.90643878,4.842603225,4.842919885,4.982350475,-6.760439817,10.46553729
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.491931528,2.229999868,2.680231114,0.981232606,1.056603898,-3.696788705,2.626987267
Ghana,GHA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.120759338,3.37346575,8.128894881,6.200077681,6.507774794,0.513941648,5.356477897
Gibraltar,GIB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..
Greece,GRC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.19608763,-0.487173294,1.09214912,1.668428636,1.884341785,-9.004043642,8.434425502
Greenland,GRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.529318024,4.68195411,0.052728183,0.623065429,2.271310943,0.35653166,..
Grenada,GRD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.444767824,3.740552601,4.439116408,4.361421988,0.675295897,-13.75592945,4.68794389
Guam,GUM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.825688073,0.181983621,0.890099909,-0.792221822,2.595281307,-11.39218114,1.058095428
Guatemala,GTM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.092170816,2.677802555,3.079851491,3.4068734,4.002315059,-1.764082926,7.980769506
Guinea,GIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.825910569,10.8206272,10.30000534,6.358491927,5.616914469,4.920266372,3.9
Guinea-Bissau,GNB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.134082941,6.262805638,5.919176626,1.283736703,4.499999992,-2.399999999,3.800002427
Guyana,GUY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.68752121,3.807918837,3.734374061,4.441013589,5.352627426,43.47955594,20.06001095
Haiti,HTI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.562508835,1.812468078,2.510271345,1.667810955,-1.684595081,-3.343372612,-1.798239889
Honduras,HND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.840079971,3.892972197,4.842913911,3.84499477,2.653066255,-8.964760184,12.53409602
"Hong Kong SAR, China",HKG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.387831883,2.17542435,3.796122164,2.846934743,-1.678246464,-6.545008239,6.343106198
Hungary,HUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.707315979,2.201001893,4.271976016,5.362332259,4.85779236,-4.547263823,7.117315315
Iceland,ISL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.436663719,6.303687107,4.194948829,4.888798244,2.415456092,-6.842296026,4.403044786
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.996253786,8.256305502,6.795383419,6.453851345,3.73791852,-6.596080522,8.681228731
